ClassName,Mutation Score,LC,BC,CC
AbstractArtifactResolutionException,0.00 ,0.00 ,0.00 ,35.00 
AbstractMavenTransferListener,0.73 ,0.00 ,0.00 ,9.00 
AbstractMojo,0.00 ,0.00 ,0.00 ,6.00 
AbstractStringBasedModelInterpolator,0.00 ,0.00 ,0.00 ,28.00 
AbstractStringBasedModelInterpolator,0.71 ,0.91 ,0.79 ,22.00 
AbstractVersionTransformation,0.00 ,0.01 ,0.00 ,12.00 
Activation,0.00 ,0.04 ,0.00 ,21.00 
ActivationFile,0.00 ,0.03 ,0.00 ,12.00 
ActivationOS,0.00 ,0.03 ,0.00 ,16.00 
ActivationProperty,0.00 ,0.03 ,0.00 ,12.00 
ArtifactDescriptorReaderDelegate,0.59 ,0.54 ,0.56 ,20.00 
ArtifactDescriptorUtils,0.44 ,0.89 ,0.70 ,9.00 
ArtifactMetadata,0.18 ,0.39 ,0.05 ,53.00 
ArtifactRepositoryPolicy,0.00 ,0.00 ,0.00 ,33.00 
ArtifactScopeEnum,0.41 ,0.88 ,0.45 ,18.00 
ArtifactStatus,0.00 ,0.00 ,0.00 ,14.00 
ArtifactUtils,0.38 ,0.36 ,0.39 ,27.00 
BootstrapCoreExtensionManager,0.00 ,0.00 ,0.00 ,8.00 
Build,0.00 ,0.02 ,0.00 ,19.00 
BuildBase,0.00 ,0.01 ,0.00 ,28.00 
BuildTimestampValueSource,0.00 ,0.84 ,0.50 ,4.00 
CiManagement,0.00 ,0.02 ,0.00 ,19.00 
ClasspathContainer,0.12 ,0.16 ,0.11 ,19.00 
CleanArgument,1.00 ,0.80 ,0.81 ,13.00 
CLIReportingUtils,0.54 ,0.57 ,0.43 ,24.00 
ComparableVersion,0.78 ,0.75 ,0.73 ,33.00 
ConfigurationContainer,0.00 ,0.05 ,0.00 ,18.00 
ConsoleMavenTransferListener,0.00 ,0.00 ,0.00 ,15.00 
Contributor,0.00 ,0.01 ,0.00 ,31.00 
CoreExtensions,0.00 ,0.00 ,0.00 ,8.00 
CoreExtensionsXpp3Reader,0.00 ,0.00 ,0.00 ,83.00 
CoreExtensionsXpp3Writer,0.00 ,0.00 ,0.00 ,14.00 
DebugResolutionListener,0.00 ,0.00 ,0.00 ,25.00 
DefaultArtifact,0.34 ,0.44 ,0.38 ,101.00 
DefaultArtifactDeployer,0.00 ,0.48 ,0.31 ,14.00 
DefaultArtifactDescriptorReader,0.39 ,0.72 ,0.38 ,34.00 
DefaultArtifactInstaller,0.00 ,0.44 ,0.25 ,9.00 
DefaultArtifactRepository,0.00 ,0.18 ,0.14 ,33.00 
DefaultArtifactRepositoryFactory,0.00 ,0.00 ,0.00 ,14.00 
DefaultArtifactRepositoryFactory,0.18 ,0.27 ,0.58 ,15.00 
DefaultArtifactResolver,0.51 ,0.68 ,0.58 ,53.00 
DefaultArtifactTransformationManager,0.20 ,0.07 ,0.00 ,10.00 
DefaultArtifactVersion,0.88 ,0.95 ,0.91 ,35.00 
DefaultClasspathTransformation,0.46 ,0.68 ,0.50 ,7.00 
DefaultGraphConflictResolutionPolicy,0.47 ,0.77 ,0.57 ,9.00 
DefaultGraphConflictResolver,0.53 ,0.79 ,0.64 ,32.00 
DefaultInheritanceAssembler,0.53 ,0.87 ,0.81 ,11.00 
DefaultLegacyArtifactCollector,0.42 ,0.65 ,0.63 ,102.00 
DefaultLog,0.00 ,0.00 ,0.00 ,19.00 
DefaultMavenProfilesBuilder,0.00 ,0.00 ,0.00 ,3.00 
DefaultMavenProjectBuilder,0.00 ,0.00 ,0.00 ,26.00 
DefaultMirrorSelector,0.94 ,1.00 ,0.95 ,36.00 
DefaultModelBuilder,0.13 ,0.34 ,0.23 ,171.00 
DefaultModelBuilderFactory,0.91 ,1.00 ,1.00 ,25.00 
DefaultModelBuildingRequest,0.31 ,0.47 ,0.50 ,49.00 
DefaultModelBuildingResult,0.11 ,0.65 ,0.33 ,17.00 
DefaultModelCache,0.08 ,0.10 ,0.50 ,5.00 
DefaultModelInheritanceAssembler,0.00 ,0.00 ,0.00 ,127.00 
DefaultModelNormalizer,0.13 ,0.72 ,0.60 ,14.00 
DefaultModelPathTranslator,0.12 ,0.91 ,0.62 ,12.00 
DefaultModelProblem,0.00 ,0.00 ,0.00 ,17.00 
DefaultModelProblemCollector,0.17 ,0.23 ,0.17 ,29.00 
DefaultModelReader,0.69 ,0.72 ,0.90 ,12.00 
DefaultModelResolver,0.59 ,0.73 ,0.61 ,22.00 
DefaultModelValidator,0.67 ,0.84 ,0.78 ,176.00 
DefaultPathTranslator,0.38 ,0.36 ,0.30 ,39.00 
DefaultPluginConfigurationExpander,0.00 ,1.00 ,0.80 ,8.00 
DefaultProblem,0.81 ,0.78 ,0.90 ,20.00 
DefaultProblemCollector,1.00 ,1.00 ,1.00 ,5.00 
DefaultProfileActivationContext,0.44 ,0.77 ,0.55 ,25.00 
DefaultProfileInjector,0.12 ,0.55 ,0.33 ,5.00 
DefaultProfileManager,0.24 ,0.63 ,0.40 ,25.00 
DefaultProfileSelector,0.58 ,0.84 ,0.80 ,20.00 
DefaultProjectBuilderConfiguration,0.00 ,0.00 ,0.00 ,12.00 
DefaultReportingConverter,0.08 ,0.49 ,0.32 ,38.00 
DefaultRepositoryMetadataManager,0.00 ,0.00 ,0.00 ,59.00 
DefaultRuntimeInformation,0.00 ,0.00 ,0.00 ,4.00 
DefaultSettingsBuilder,0.19 ,0.57 ,0.50 ,21.00 
DefaultSettingsBuildingRequest,0.17 ,0.59 ,0.37 ,17.00 
DefaultSettingsDecrypter,0.00 ,0.00 ,0.00 ,6.00 
DefaultSettingsDecryptionRequest,0.00 ,0.00 ,0.00 ,10.00 
DefaultSettingsDecryptionResult,0.00 ,0.00 ,0.00 ,11.00 
DefaultSettingsProblem,0.00 ,0.00 ,0.00 ,20.00 
DefaultSettingsValidator,0.65 ,0.86 ,0.76 ,35.00 
DefaultSuperPomProvider,0.67 ,0.73 ,0.50 ,5.00 
DefaultUpdateCheckManager,0.51 ,0.63 ,0.59 ,47.00 
DefaultUrlNormalizer,0.75 ,0.98 ,0.80 ,7.00 
DefaultVersionRangeResolver,0.58 ,0.81 ,0.78 ,24.00 
DefaultVersionResolver,0.27 ,0.53 ,0.40 ,65.00 
DefaultWagonManager,0.00 ,0.42 ,0.43 ,77.00 
DefaultWagonManager,0.25 ,0.00 ,0.00 ,21.00 
Dependency,0.04 ,0.12 ,0.00 ,38.00 
DistributionManagement,0.00 ,0.02 ,0.00 ,24.00 
Execution,0.00 ,0.00 ,0.00 ,8.00 
ExecutionEventLogger,0.25 ,0.19 ,0.05 ,57.00 
Expression,0.00 ,0.00 ,0.00 ,21.00 
ExpressionDocumentation,0.00 ,0.00 ,0.00 ,14.00 
ExpressionDocumenter,0.00 ,0.00 ,0.00 ,15.00 
Extension,0.33 ,0.46 ,0.42 ,27.00 
FarthestConflictResolver,1.00 ,1.00 ,1.00 ,3.00 
FileProfileActivator,0.00 ,0.00 ,0.00 ,11.00 
FileProfileActivator,0.32 ,0.69 ,0.57 ,17.00 
FlatRepositoryLayout,0.00 ,0.00 ,0.00 ,10.00 
GroupRepositoryMetadata,0.00 ,0.00 ,0.00 ,16.00 
InputLocation,0.00 ,0.00 ,0.00 ,29.00 
InversionArtifactFilter,0.00 ,0.00 ,0.00 ,7.00 
JdkPrefixProfileActivator,0.00 ,0.00 ,0.00 ,14.00 
JdkVersionProfileActivator,0.79 ,0.86 ,0.86 ,37.00 
LatestArtifactTransformation,0.00 ,0.06 ,0.00 ,7.00 
LegacyRepositorySystem,0.11 ,0.20 ,0.15 ,109.00 
Lifecycle,0.00 ,0.00 ,0.00 ,8.00 
LifecycleConfiguration,0.00 ,0.55 ,0.25 ,11.00 
LifecycleMappingsXpp3Reader,0.00 ,0.00 ,0.00 ,8.00 
LifecycleMappingsXpp3Writer,0.00 ,0.00 ,0.00 ,103.00 
LocalSnapshotMetadata,0.00 ,0.00 ,0.00 ,26.00 
LocalSnapshotMetadataGenerator,0.00 ,0.00 ,0.00 ,19.00 
MailingList,0.00 ,0.00 ,0.00 ,7.00 
ManagedVersionMap,0.40 ,0.02 ,0.00 ,24.00 
MavenArtifact,0.00 ,0.14 ,0.33 ,5.00 
MavenArtifactMetadata,0.00 ,0.00 ,0.00 ,12.00 
MavenBuildTimestamp,0.50 ,0.00 ,0.00 ,18.00 
MavenCli,0.16 ,0.80 ,0.83 ,9.00 
MavenMetadata,0.00 ,0.28 ,0.19 ,215.00 
MavenModelMerger,0.31 ,0.06 ,0.00 ,10.00 
MavenSettingsMerger,0.00 ,0.50 ,0.44 ,124.00 
MavenXpp3Reader,0.00 ,0.56 ,0.39 ,18.00 
MavenXpp3ReaderEx,0.00 ,0.00 ,0.00 ,615.00 
MavenXpp3Writer,0.00 ,0.00 ,0.00 ,613.00 
MavenXpp3WriterEx,0.00 ,0.00 ,0.00 ,401.00 
MetadataBridge,0.00 ,0.00 ,0.00 ,413.00 
MetadataGraph,0.00 ,0.00 ,0.00 ,20.00 
MetadataGraph,0.27 ,0.44 ,0.35 ,87.00 
MetadataGraphEdge,0.33 ,0.00 ,0.00 ,8.00 
MetadataGraphNode,0.00 ,0.51 ,0.34 ,33.00 
MetadataGraphVertex,0.44 ,0.00 ,0.00 ,13.00 
MetadataResolutionRequest,0.00 ,0.51 ,0.42 ,33.00 
MetadataResolutionRequest,0.00 ,0.00 ,0.00 ,25.00 
MetadataResolutionResult,0.00 ,0.00 ,0.00 ,54.00 
MetadataResolutionResult,0.00 ,0.00 ,0.00 ,22.00 
MetadataTreeNode,0.00 ,0.00 ,0.00 ,3.00 
MetadataUtils,0.00 ,0.12 ,0.03 ,93.00 
Model,0.10 ,0.00 ,0.00 ,52.00 
ModelBase,0.00 ,0.00 ,0.00 ,21.00 
ModelBuildingException,0.00 ,0.78 ,0.50 ,20.00 
ModelData,0.13 ,0.00 ,0.00 ,662.00 
ModelMerger,0.00 ,0.00 ,0.00 ,29.00 
ModelProblemUtils,0.00 ,0.73 ,0.60 ,65.00 
ModelUtils,0.59 ,0.00 ,0.00 ,10.00 
ModelValidationResult,0.00 ,0.56 ,0.30 ,78.00 
MojoDescriptor,0.39 ,0.00 ,0.00 ,9.00 
MojoNotFoundException,0.00 ,0.00 ,0.00 ,7.00 
MultipleArtifactsNotFoundException,0.00 ,1.00 ,1.00 ,3.00 
NearestConflictResolver,1.00 ,0.86 ,1.00 ,3.00 
NewestConflictResolver,0.50 ,0.11 ,0.00 ,25.00 
Notifier,0.00 ,0.86 ,1.00 ,3.00 
OldestConflictResolver,0.50 ,0.00 ,0.00 ,34.00 
OperatingSystemProfileActivator,0.00 ,0.07 ,0.03 ,36.00 
OperatingSystemProfileActivator,0.05 ,0.64 ,0.50 ,10.00 
OrArtifactFilter,0.45 ,0.00 ,0.00 ,99.00 
ParamdocXpp3Reader,0.00 ,0.00 ,0.00 ,23.00 
ParamdocXpp3Writer,0.00 ,0.61 ,0.00 ,31.00 
Parameter,0.61 ,0.41 ,0.00 ,18.00 
Parent,0.42 ,0.00 ,0.00 ,5.00 
PathTranslatingPostProcessor,0.00 ,1.00 ,0.75 ,4.00 
PatternSet,0.38 ,0.32 ,0.25 ,25.00 
Phase,0.00 ,0.00 ,0.00 ,10.00 
Plugin,0.22 ,0.18 ,0.11 ,47.00 
PluginContainer,0.00 ,0.01 ,0.00 ,20.00 
PluginDescriptor,0.20 ,0.19 ,0.08 ,61.00 
PluginDescriptorBuilder,0.65 ,0.98 ,0.83 ,33.00 
ProblemDetectingValueSource,0.44 ,0.95 ,0.75 ,8.00 
Profile,0.00 ,0.00 ,0.00 ,19.00 
ProfilesConversionUtils,0.00 ,0.00 ,0.00 ,13.00 
ProfilesRoot,0.00 ,0.00 ,0.00 ,13.00 
ProfilesXpp3Reader,0.00 ,0.00 ,0.00 ,155.00 
ProfilesXpp3Writer,0.00 ,0.00 ,0.00 ,60.00 
ProjectUtils,0.00 ,0.00 ,0.00 ,7.00 
PropertyProfileActivator,0.76 ,0.81 ,0.86 ,18.00 
ReleaseArtifactTransformation,0.00 ,0.03 ,0.00 ,9.00 
RelocatedArtifact,0.00 ,0.00 ,0.00 ,18.00 
RemoteSnapshotMetadata,0.30 ,0.41 ,0.25 ,17.00 
RemoteSnapshotMetadataGenerator,0.00 ,0.00 ,0.00 ,12.00 
Reporting,0.00 ,0.01 ,0.00 ,27.00 
ReportPlugin,0.00 ,0.05 ,0.00 ,22.00 
Repository,0.00 ,0.05 ,0.00 ,8.00 
RepositoryBase,0.00 ,0.00 ,0.00 ,11.00 
RepositoryBase,0.33 ,0.42 ,0.36 ,26.00 
RepositoryPolicy,0.00 ,0.03 ,0.00 ,17.00 
Restriction,0.36 ,0.33 ,0.30 ,36.00 
Result,0.00 ,0.00 ,0.00 ,38.00 
Scm,0.00 ,0.03 ,0.00 ,31.00 
SettingsBuildingException,0.00 ,0.00 ,0.00 ,6.00 
SettingsXmlConfigurationProcessor,0.00 ,0.00 ,0.00 ,28.00 
Slf4jMavenTransferListener,0.00 ,0.00 ,0.00 ,10.00 
Slf4jStdoutLogger,0.00 ,0.06 ,0.00 ,63.00 
SnapshotArtifactRepositoryMetadata,0.00 ,0.00 ,0.00 ,13.00 
SnapshotTransformation,0.00 ,0.03 ,0.00 ,20.00 
StringSearchModelInterpolator,0.00 ,0.00 ,0.00 ,7.00 
StringSource,0.83 ,0.92 ,1.00 ,8.00 
SystemPropertyProfileActivator,0.00 ,0.00 ,0.00 ,15.00 
TransferListenerAdapter,0.00 ,0.00 ,0.00 ,17.00 
TypeArtifactFilter,0.00 ,0.00 ,0.00 ,6.00 
UnresolvableModelException,0.00 ,0.00 ,0.00 ,12.00 
UrlNormalizingPostProcessor,0.25 ,0.87 ,0.50 ,5.00 
VersionRange,0.69 ,0.80 ,0.73 ,111.00 
VersionsMetadata,0.00 ,0.00 ,0.00 ,17.00 
VersionsMetadataGenerator,0.00 ,0.00 ,0.00 ,11.00 
